Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/16/09,8:30,11.54,5.7,17.43,160.1
08/16/09,8:40,11.56,5.7,17.8,163.6
08/16/09,8:50,11.44,5.7,17.68,162.1
08/16/09,9:00,11.46,5.7,17.53,160.8
08/16/09,9:10,11.62,5.7,17.6,162
08/16/09,9:20,11.48,5.7,17.58,161.3
08/16/09,9:30,11.63,5.7,17.85,164.3
08/16/09,9:40,11.5,5.7,17.55,161.1
08/16/09,9:50,11.61,5.7,17.76,163.4
08/16/09,10:00,11.54,5.7,17.52,161
08/16/09,10:10,11.47,5.7,17.63,161.8
08/16/09,10:20,11.5,5.7,17.54,161
08/16/09,10:30,11.48,5.7,17.28,158.6
08/16/09,10:40,11.55,5.7,18.08,166.2
08/16/09,10:50,11.39,5.7,17.39,159.2
08/16/09,11:00,11.49,5.7,17.73,162.7
08/16/09,11:10,11.54,5.7,18.02,165.5
08/16/09,11:20,11.64,5.7,18.32,168.7
08/16/09,11:30,11.6,5.7,18.37,169
08/16/09,11:40,11.59,5.7,18.69,171.9
08/16/09,11:50,11.48,5.7,18.24,167.4
08/16/09,12:00,11.7,5.7,18.66,172.1
08/16/09,12:10,11.59,5.7,18.74,172.4
08/16/09,12:20,11.62,5.7,18.52,170.5
08/16/09,12:30,11.63,5.7,18.85,173.5
08/16/09,12:40,11.54,5.7,18.92,173.8
08/16/09,12:50,11.56,5.7,19.22,176.7
08/16/09,13:00,11.47,5.7,18.99,174.2
08/16/09,13:10,11.58,5.7,18.97,174.5
08/16/09,13:20,11.65,5.7,18.95,174.6
08/16/09,13:30,11.59,5.7,19.03,175
08/16/09,13:40,11.62,5.7,19.08,175.6
08/16/09,13:50,11.43,5.7,17.29,158.5
08/16/09,14:00,11.62,5.7,19.34,178
08/16/09,14:10,11.64,5.7,19.06,175.5
08/16/09,14:20,11.56,5.7,18.9,173.7
08/16/09,14:30,11.65,5.7,19.19,176.8
08/16/09,14:40,11.74,5.7,19.49,179.9
08/16/09,14:50,11.72,5.7,19.46,179.5
08/16/09,15:00,11.85,5.7,19.16,177.3
08/16/09,15:10,11.44,5.7,16.97,155.5
08/16/09,15:20,11.24,5.7,14.89,135.9
08/16/09,15:30,11.64,5.7,18.87,173.8
08/16/09,15:40,11.61,5.7,19.28,177.4
08/16/09,15:50,11.85,5.7,19.7,182.3
08/16/09,16:00,11.78,5.7,19.6,181.1
08/16/09,16:10,11.59,5.7,19.23,176.9
08/16/09,16:20,11.49,5.7,19.09,175.2
08/16/09,16:30,11.45,5.7,18.62,170.8
08/16/09,16:40,11.59,5.7,18.88,173.6
08/16/09,16:50,11.35,5.7,16.75,153.2
08/16/09,17:00,11.47,5.7,17.36,159.3
08/16/09,17:10,11.46,5.7,17.62,161.6
08/16/09,17:20,11.75,5.7,19.01,175.5
08/16/09,17:30,11.72,5.7,19.55,180.4
08/16/09,17:40,11.52,5.7,17.93,164.7
08/16/09,17:50,11.33,5.7,16.28,148.9
08/16/09,18:00,11.79,5.7,18.98,175.4
08/16/09,18:10,11.54,5.7,19.17,176.1
08/16/09,18:20,11.59,5.7,19.05,175.3
08/16/09,18:30,11.53,5.7,18.95,174.1
08/16/09,18:40,11.31,5.7,15.57,142.3
08/16/09,18:50,11.55,5.7,17.71,162.8
08/16/09,19:00,11.5,5.7,18.29,167.9
08/16/09,19:10,11.47,5.7,17.39,159.5
08/16/09,19:20,11.6,5.7,18.3,168.3
08/16/09,19:30,11.7,5.7,19.01,175.3
08/16/09,19:40,11.77,5.7,19.35,178.7
08/16/09,19:50,11.66,5.7,18.98,174.9
08/16/09,20:00,11.43,5.7,18.85,172.8
08/16/09,20:10,11.51,5.7,17.86,164
08/16/09,20:20,11.64,5.7,19.17,176.5
08/16/09,20:30,11.67,5.7,19.23,177.2
08/16/09,20:40,11.47,5.7,17.69,162.3
08/16/09,20:50,11.49,5.7,18.27,167.6
08/16/09,21:00,11.55,5.7,18.65,171.4
08/16/09,21:10,11.57,5.7,18.03,165.7
08/16/09,21:20,11.4,5.7,18.03,165.2
08/16/09,21:30,11.5,5.7,18.42,169.1
08/16/09,21:40,11.6,5.7,18.99,174.7
08/16/09,21:50,11.67,5.7,19.5,179.7
08/16/09,22:00,11.62,5.7,18.89,173.8
08/16/09,22:10,11.69,5.7,18.82,173.5
08/16/09,22:20,11.57,5.7,18.67,171.7
08/16/09,22:30,11.47,5.7,17.93,164.5
08/16/09,22:40,11.59,5.7,18.95,174.3
08/16/09,22:50,11.46,5.7,18.27,167.6
08/16/09,23:00,11.29,5.7,17.36,158.6
08/16/09,23:10,11.46,5.7,17.9,164.2
08/16/09,23:20,11.66,5.7,18.74,172.6
08/16/09,23:30,11.57,5.7,19.26,177.1
08/16/09,23:40,11.59,5.7,18.74,172.4
08/16/09,23:50,11.47,5.7,18.63,170.9
08/17/09,0:00,11.75,5.7,19.04,175.8
08/17/09,0:10,11.59,5.7,18.44,169.7
08/17/09,0:20,11.58,5.7,18.65,171.5
08/17/09,0:30,11.63,5.7,18.75,172.6
08/17/09,0:40,11.61,5.7,18.2,167.5
08/17/09,0:50,11.64,5.7,18.83,173.4
08/17/09,1:00,11.66,5.7,18.29,168.5
08/17/09,1:10,11.46,5.7,16.9,155
08/17/09,1:20,11.27,5.7,15.85,144.7
08/17/09,1:30,11.49,5.7,17.57,161.3
08/17/09,1:40,11.54,5.7,18.04,165.7
08/17/09,1:50,11.57,5.7,19,174.7
08/17/09,2:00,11.77,5.7,19.52,180.3
08/17/09,2:10,11.63,5.7,18.38,169.2
08/17/09,2:20,11.65,5.7,18.44,169.9
08/17/09,2:30,11.55,5.7,18.62,171.1
08/17/09,2:40,11.6,5.7,17.87,164.4
08/17/09,2:50,11.6,5.7,19.13,176
08/17/09,3:00,11.44,5.7,17.4,159.5
08/17/09,3:10,11.82,5.7,19,175.7
08/17/09,3:20,11.48,5.7,18,165.1
08/17/09,3:30,11.53,5.7,18.18,167
08/17/09,3:40,11.59,5.7,18.12,166.6
08/17/09,3:50,11.66,5.7,18.89,174.1
08/17/09,4:00,11.78,5.7,19.01,175.6
08/17/09,4:10,11.55,5.7,18.89,173.6
08/17/09,4:20,11.63,5.7,18.86,173.7
08/17/09,4:30,11.55,5.7,18.3,168.1
08/17/09,4:40,11.54,5.7,18.95,174.1
08/17/09,4:50,11.4,5.7,18.49,169.4
08/17/09,5:00,11.58,5.7,18.24,167.7
08/17/09,5:10,11.45,5.7,17.58,161.2
08/17/09,5:20,11.47,5.7,17.95,164.7
08/17/09,5:30,11.63,5.7,18.52,170.5
08/17/09,5:40,11.66,5.7,18.79,173.1
08/17/09,5:50,11.7,5.7,18.96,174.8
08/17/09,6:00,11.68,5.7,18.53,170.8
08/17/09,6:10,11.44,5.7,16.86,154.6
08/17/09,6:20,11.47,5.7,17.99,165.1
08/17/09,6:30,11.54,5.7,18.35,168.6
08/17/09,6:40,11.54,5.7,18.11,166.4
08/17/09,6:50,11.62,5.7,18.42,169.6
08/17/09,7:00,11.68,5.7,18.49,170.5
08/17/09,7:10,11.75,5.6,18.62,171.9
