  Date        	Time        	Fo	Fm	Blank	Fv	Yield

Configuration: Ward12

04/23/12	21:40:00	4373	5795	672	1422	0.245
04/23/12	21:45:00	4376	5835	672	1459	0.250
04/23/12	21:50:00	4273	5563	672	1290	0.231
04/23/12	21:55:00	4245	5640	672	1395	0.247
04/23/12	22:00:00	4061	5474	672	1413	0.258
04/23/12	22:05:00	4248	5596	672	1348	0.240
04/23/12	22:10:00	4009	5108	672	1099	0.215
04/23/12	22:15:00	3416	4411	672	995	0.225
04/23/12	22:20:00	3947	5244	672	1297	0.247
04/23/12	22:25:00	4320	5767	672	1447	0.250
04/23/12	22:30:00	4455	5801	672	1346	0.232
04/23/12	22:35:00	4110	5455	672	1345	0.246
04/23/12	22:40:00	4343	5794	672	1451	0.250
04/23/12	22:45:00	4232	5663	672	1431	0.252
04/23/12	22:50:00	3966	5243	672	1277	0.243
04/23/12	22:55:00	4465	6027	672	1562	0.259
04/23/12	23:00:00	4352	5887	672	1535	0.260
04/23/12	23:05:00	4329	5754	672	1425	0.247
04/23/12	23:10:00	4417	5784	672	1367	0.236
04/23/12	23:15:00	4146	5535	672	1389	0.250
04/23/12	23:20:00	4709	6207	672	1498	0.241
04/23/12	23:25:00	3925	5170	672	1245	0.240
04/23/12	23:30:00	4441	5878	672	1437	0.244
04/23/12	23:35:00	4196	5505	672	1309	0.237
04/23/12	23:40:00	3656	4727	672	1071	0.226
04/23/12	23:45:00	3976	5244	672	1268	0.241
04/23/12	23:50:00	3932	5127	672	1195	0.233
04/23/12	23:55:00	4051	5302	672	1251	0.235
04/24/12	00:00:00	3965	5108	672	1143	0.223
04/24/12	00:05:00	3781	4814	672	1033	0.214
04/24/12	00:10:00	4276	5488	672	1212	0.220
04/24/12	00:15:00	4243	5629	672	1386	0.246
04/24/12	00:20:00	4002	5315	672	1313	0.247
04/24/12	00:25:00	4469	5953	672	1484	0.249
04/24/12	00:30:00	4206	5582	672	1376	0.246
04/24/12	00:35:00	4536	5921	672	1385	0.233
04/24/12	00:40:00	4418	5893	672	1475	0.250
04/24/12	00:45:00	4265	5747	672	1482	0.257
04/24/12	00:50:00	4153	5589	672	1436	0.256
04/24/12	00:55:00	4056	5351	672	1295	0.242
04/24/12	01:00:00	4383	5832	672	1449	0.248
04/24/12	01:05:00	4546	6052	672	1506	0.248
04/24/12	01:10:00	4527	5989	672	1462	0.244
04/24/12	01:15:00	4471	5962	672	1491	0.250
04/24/12	01:20:00	4530	5965	672	1435	0.240
04/24/12	01:25:00	4598	6012	672	1414	0.235
04/24/12	01:30:00	4441	5884	672	1443	0.245
04/24/12	01:35:00	4250	5612	672	1362	0.242
04/24/12	01:40:00	4306	5671	672	1365	0.240
04/24/12	01:45:00	4270	5663	672	1393	0.245
04/24/12	01:50:00	4508	6005	672	1497	0.249
04/24/12	01:55:00	4213	5613	672	1400	0.249
04/24/12	02:00:00	4051	5268	672	1217	0.231
04/24/12	02:05:00	4282	5646	672	1364	0.241
04/24/12	02:10:00	4268	5708	672	1440	0.252
04/24/12	02:15:00	4102	5424	672	1322	0.243
04/24/12	02:20:00	3778	4994	672	1216	0.243
04/24/12	02:25:00	4089	5332	672	1243	0.233
04/24/12	02:30:00	3912	5162	672	1250	0.242
04/24/12	02:35:00	4130	5447	672	1317	0.241
04/24/12	02:40:00	4285	5549	672	1264	0.227
04/24/12	02:45:00	4192	5621	672	1429	0.254
04/24/12	02:50:00	4312	5743	672	1431	0.249
04/24/12	02:55:00	4462	5848	672	1386	0.237
04/24/12	03:00:00	4726	6048	672	1322	0.218
04/24/12	03:05:00	4762	6362	672	1600	0.251
04/24/12	03:10:00	4410	5804	672	1394	0.240
04/24/12	03:15:00	4589	6172	672	1583	0.256
04/24/12	03:20:00	4454	5953	672	1499	0.251
04/24/12	03:25:00	4595	5991	672	1396	0.233
04/24/12	03:30:00	4659	6108	672	1449	0.237
04/24/12	03:35:00	4557	6002	672	1445	0.240
04/24/12	03:40:00	4444	5992	672	1548	0.258
04/24/12	03:45:00	4575	5997	672	1422	0.237
04/24/12	03:50:00	4189	5474	672	1285	0.234
04/24/12	03:55:00	4645	6200	672	1555	0.250
