lake,datetime,depth,fracLight
Ward,2012-05-03,4,0
Ward,2012-05-03,4.5,0
Ward,2012-05-10,0,1
Ward,2012-05-10,0.25,0.379
Ward,2012-05-10,0.5,0.175
Ward,2012-05-10,0.75,0.122
Ward,2012-05-10,1,0.073
Ward,2012-05-10,1.5,0.024
Ward,2012-05-10,2,0.007
Ward,2012-05-10,2.5,0.004
Ward,2012-05-10,3,0.001
Ward,2012-05-10,3.5,0
Ward,2012-05-10,4,0
Ward,2012-05-10,4.5,0
Ward,2012-05-17,0,1
Ward,2012-05-17,0.25,0.339
Ward,2012-05-17,0.5,0.157
Ward,2012-05-17,0.75,0.087
Ward,2012-05-17,1,0.057
Ward,2012-05-17,1.5,0.022
Ward,2012-05-17,2,0.008
Ward,2012-05-17,2.5,0.003
Ward,2012-05-17,3,0.001
Ward,2012-05-17,3.5,0
Ward,2012-05-17,4,0
Ward,2012-05-24,0,1
Ward,2012-05-24,0.25,0.426
Ward,2012-05-24,0.5,0.212
Ward,2012-05-24,0.75,0.099
Ward,2012-05-24,1,0.045
Ward,2012-05-24,1.5,0.019
Ward,2012-05-24,2,0.006
Ward,2012-05-24,2.5,0.004
Ward,2012-05-24,3,0.001
Ward,2012-05-24,3.5,0
Ward,2012-05-31,0,1
Ward,2012-05-31,0.25,0.431
Ward,2012-05-31,0.5,0.192
Ward,2012-05-31,0.75,0.108
Ward,2012-05-31,1,0.044
Ward,2012-05-31,1.5,0.017
Ward,2012-05-31,2,0.007
Ward,2012-05-31,2.5,0.004
Ward,2012-05-31,3,0.001
Ward,2012-05-31,3.5,0
Ward,2012-06-07,0,1
Ward,2012-06-07,0.25,0.484
