"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-07-03 23:25:00 8.60611330255725 7.99299063717621 25.87 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.03121430081211
2010-07-03 23:30:00 8.76534542967531 8.00544734612377 25.74 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.975849811709559
2010-07-03 23:35:00 8.82525515656688 8.0016018823363 25.78 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.02906978238949
2010-07-03 23:40:00 8.72511350603534 8.0016018823363 25.78 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.02906978238949
2010-07-03 23:45:00 8.70497185550381 8.0016018823363 25.78 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.976753361684998
2010-07-03 23:50:00 8.84473346297637 8.0035232086848 25.76 0.5 959.999989774093 3.8 1.2 3.78095884317288 0.5 0.991763320559345 1.20897667118448
2010-07-03 23:55:00 8.72415915633927 8.00930406382669 25.7 0.5 959.999989774093 3.8 1.2 3.3099303004207 0.5 0.891567820826148 1.08532869624381
2010-07-04 00:00:00 8.71406584669188 8.0083388283005 25.71 0.5 959.999989774093 3.8 1.2 3.53907932121906 0.5 0.939147121780857 1.14351282602471
2010-07-04 00:05:00 8.74402111659828 8.00641046974814 25.73 0.5 959.999989774093 3.8 1.2 3.53907932121906 0.5 0.939147121780857 1.14404219240245
2010-07-04 00:10:00 8.76368496911358 8.01027000391873 25.69 0.5 959.999989774093 3.8 1.2 3.53907932121906 0.5 0.939147121780857 1.14298365657458
2010-07-04 00:15:00 8.73335252037473 8.01123664887629 25.68 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.876297373618027
2010-07-04 00:20:00 8.72306439496751 8.014140815942 25.65 0.5 959.999989774093 3.8 1.2 4.01010786397123 0.5 1.04383484914541 1.26921759850207
2010-07-04 00:25:00 8.74277597534113 8.01705133760656 25.62 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.02526625021198
2010-07-04 00:30:00 8.73258504277456 8.01802292503197 25.61 0.5 959.999989774093 3.8 1.2 4.25198738592505 0.5 1.10110480340118 1.33761391522969
2010-07-04 00:35:00 8.73220297542248 8.01996822199701 25.59 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.972467473051128
2010-07-04 00:40:00 8.72181571714166 8.02484385750296 25.54 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.02336866832528
2010-07-04 00:45:00 8.72152611040341 8.02777774903288 25.51 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.970667335572221
2010-07-04 00:50:00 8.68143291237826 8.02679907529673 25.52 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.970892211526355
2010-07-04 00:55:00 8.64100060067577 8.02973722770223 25.49 0.5 959.999989774093 3.8 1.2 3.53907932121906 0.5 0.939147121780857 1.13770259303299
2010-07-04 01:00:00 8.64075962605086 8.03169954999493 25.47 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.969768231548247
2010-07-04 01:05:00 8.72046911774294 8.03464837055739 25.44 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.917401532921696
2010-07-04 01:10:00 8.73037597704149 8.03366471834693 25.45 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.87164219992458
2010-07-04 01:15:00 8.63994257996114 8.03661781257364 25.42 0.5 959.999989774093 3.8 1.2 3.3099303004207 0.5 0.891567820826148 1.07831353557091
2010-07-04 01:20:00 8.66970094174744 8.0385901067549 25.4 0.5 959.999989774093 3.8 1.2 1.88411417100871 0.5 0.648271863673885 0.78369400295648
2010-07-04 01:25:00 8.67950872769794 8.03957732417247 25.39 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.01981799672758
2010-07-04 01:30:00 8.71921716220366 8.04254326141067 25.36 0.5 959.999989774093 3.8 1.2 3.06805077846688 0.5 0.843789253911501 1.01910898151046
2010-07-04 01:35:00 8.60873271064693 8.04650785415763 25.32 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.869019396520064
2010-07-04 01:40:00 8.63854005576056 8.04750079185242 25.31 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.868817886101293
2010-07-04 01:45:00 8.63824758564549 8.05048390468721 25.28 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.914004678616452
2010-07-04 01:50:00 8.62810463329707 8.05048390468721 25.28 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.965506064015613
2010-07-04 01:55:00 8.67766875240733 8.0534734736329 25.25 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.822564657137892
2010-07-04 02:00:00 8.68742560466826 8.05547011044954 25.23 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.86720703521143
2010-07-04 02:05:00 8.59718228770971 8.05746962284099 25.21 0.5 959.999989774093 3.8 1.2 2.83890175766852 0.5 0.800892227539719 0.963939282965745
2010-07-04 02:10:00 8.59693880135157 8.05947201329074 25.19 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.821420208641911
2010-07-04 02:15:00 8.58645131971537 8.06348543831752 25.15 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.82065787904666
2010-07-04 02:20:00 8.59630802548787 8.06348543831752 25.15 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.865598347461967
2010-07-04 02:25:00 8.58606397712551 8.06549647788 25.13 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.865196508969068
2010-07-04 02:30:00 8.57592063017476 8.06549647788 25.13 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.820276903359416
2010-07-04 02:35:00 8.58543191725443 8.06952722359461 25.09 0.5 959.999989774093 3.8 1.2 2.12599369296253 0.5 0.682796620666215 0.819515327391909
2010-07-04 02:40:00 8.57513670081988 8.0725578760073 25.06 0.5 959.999989774093 3.8 1.2 2.36787321491635 0.5 0.720187597769578 0.863791111338967
2010-07-04 02:45:00 8.55499316907096 8.0725578760073 25.06 0.5 959.999989774093 3.8 1.2 2.5970222357147 0.5 0.758171564448111 0.909348981110573
2010-07-04 02:50:00 8.56479896394484 8.07356954146071 25.05 0.5 959.999989774093 3.8 1.2 1.88411417100871 0.5 0.648271863673885 0.777354963899908
